2,nan,nan,-nan,0,0,-0,-0.3696,-0.507854,-42.7212,-0.00510311,0.00231469,-0.000233597,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
13,nan,nan,-nan,0,0,-0,-0.3696,-0.507854,-42.7212,-0.00510311,0.00231469,-0.000233597,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
24,nan,nan,-nan,0,0,-0,-0.3696,-0.507854,-42.7212,-0.00510311,0.00231469,-0.000233597,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
36,nan,nan,-nan,0,0,-0,-0.3696,-0.507854,-42.7212,-0.00510311,0.00231469,-0.000233597,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
47,nan,nan,-nan,0,0,-0,-0.3696,-0.507854,-42.7212,-0.00510311,0.00231469,-0.000233597,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
58,nan,nan,-nan,0,0,-0,-0.3696,-0.507854,-42.7212,-0.00510311,0.00231469,-0.000233597,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
69,nan,nan,-nan,0,0,-0,-0.3696,-0.507854,-42.7212,-0.00510311,0.00231469,-0.000233597,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
80,nan,nan,-nan,0,0,-0,-0.3696,-0.507854,-42.7212,-0.00510311,0.00231469,-0.000233597,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
91,nan,nan,-nan,0,0,-0,-0.3696,-0.507854,-42.7212,-0.00510311,0.00231469,-0.000233597,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
102,nan,nan,-nan,0,0,-0,-0.3696,-0.507854,-42.7212,-0.00510311,0.00231469,-0.000233597,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
114,nan,nan,-nan,0,0,-0,-0.369135,-0.494269,-42.7386,0.00144672,-0.000727178,-0.000756909,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
125,nan,nan,-nan,0,0,-0,-0.369135,-0.494269,-42.7386,0.00144672,-0.000727178,-0.000756909,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
135,nan,nan,-nan,0,0,-0,-0.369135,-0.494269,-42.7386,0.00144672,-0.000727178,-0.000756909,0.00690516,0.00300639,8.97465e-06,0,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
