7,nan,nan,-nan,0,0,-0,-0.309706,-0.270935,-15.8676,0.000311398,0.0120561,-0.000436011,0.00500781,0.00428055,-0.000789027,0,0,0,0,0,16.63,16.65,16.73,16.73,0,0,0,0.11
28,nan,nan,-nan,0,0,-0,-0.305364,-0.274456,-15.8701,0.00224759,-0.00798311,-0.000999073,0.00500781,0.00428055,-0.000789027,0,0,0,0,0,16.63,16.65,16.73,16.73,0,0,0,0.11
49,nan,nan,-nan,0,0,-0,-0.305364,-0.274456,-15.8701,0.00224759,-0.00798311,-0.000999073,0.00500781,0.00428055,-0.000789027,0,0,0,0,0,16.63,16.65,16.73,16.73,0,0,0,0.11
71,nan,nan,-nan,0,0,-0,-0.308325,-0.28806,-15.8702,-0.00357749,-0.00122677,0.00138469,0.00500781,0.00428055,-0.000789027,0,0,0,0,0,16.63,16.65,16.73,16.73,0,0,0,0.11
93,nan,nan,-nan,0,0,-0,-0.308325,-0.28806,-15.8702,-0.00357749,-0.00122677,0.00138469,0.00500781,0.00428055,-0.000789027,0,0,0,0,0,16.63,16.65,16.73,16.73,0,0,0,0.11
115,nan,nan,-nan,0,0,-0,-0.310183,-0.27174,-15.871,0.00140326,0.010748,-0.000731818,0.00500781,0.00428055,-0.000789027,0,0,0,0,0,16.63,16.65,16.73,16.72,0,0,0,0.11
136,nan,nan,-nan,0,0,-0,-0.310183,-0.27174,-15.871,0.00140326,0.010748,-0.000731818,0.00500781,0.00428055,-0.000789027,0,0,0,0,0,16.63,16.65,16.73,16.72,0,0,0,0.11
158,0.000484375,-7.70999e-05,0.249865,-0.00375853,0.00384035,-0.294161,-0.197854,-0.932851,0.167445,-0.0021982,-2.25257e-05,0.00217127,0.00389151,0.00734229,0.000669737,0,0,0,0,0,16.63,16.65,16.73,16.72,0,0,0,0.11
179,0.000484375,-7.70999e-05,0.249865,-0.00375853,0.00384035,-0.294161,-0.197854,-0.932851,0.167445,-0.0021982,-2.25257e-05,0.00217127,0.00389151,0.00734229,0.000669737,0,0,0,0,0,16.63,16.65,16.73,16.72,0,0,0,0.11
201,0.000484375,-7.70999e-05,0.249865,-0.00375853,0.00384035,-0.294161,-0.197261,-0.930625,0.85987,0.000296446,0.000637949,0.0152829,0.00389151,0.00734229,0.000669737,0,0,0,0,0,16.63,16.65,16.73,16.72,0,0,0,0.11
